id,color_side,color_top,WKT,lon,lat
282974882,灰色,棕色,"MultiPolygon (((24.9311216 60.1559448, 24.93124155 60.15596326, 24.93118367 60.15605638, 24.93106372 60.15603791, 24.9311216 60.1559448)))",24.931152635751623,60.15600058801782
282129063,灰色,浅蓝色,"MultiPolygon (((24.91623863 60.15375938, 24.91634696 60.15381744, 24.91612803 60.15391861, 24.9160197 60.15386055, 24.91623863 60.15375938)))",24.91618333,60.153838994999994
281575746,黄色,深紫色,"MultiPolygon (((24.91431092 60.15002902, 24.91436226 60.15009209, 24.91437378 60.15008977, 24.91439805 60.15011959, 24.91430127 60.1501391, 24.91422287 60.15004276, 24.91425513 60.15003626, 24.91425793 60.1500397, 24.91431092 60.15002902)))",24.914308266367712,60.15008438552905
281344813,深灰色,浅棕色,"MultiPolygon (((24.89474288 60.19393087, 24.89467075 60.19399277, 24.89452013 60.19394939, 24.89459226 60.1938875, 24.89474288 60.19393087)))",24.894631506170136,60.19394013323605
282079411,白色,深蓝色,"MultiPolygon (((24.92543361 60.18837231, 24.92579065 60.18843711, 24.92586594 60.18845077, 24.92589606 60.18845091, 24.92592618 60.18845637, 24.92613781 60.1884573, 24.92613706 60.18849997, 24.92588853 60.18849888, 24.9254051 60.18841114, 24.92543361 60.18837231)))",24.925776495597965,60.18844933371379
281080542,灰色,灰色,"MultiPolygon (((24.91005448 60.1571004, 24.91015143 60.15706746, 24.91051866 60.15733509, 24.91042171 60.15736804, 24.91005448 60.1571004)))",24.910286572747992,60.157217749722726
282129083,棕色,棕色,"MultiPolygon (((24.93065835 60.1546848, 24.93063258 60.15473776, 24.93066299 60.15474142, 24.93064616 60.15477601, 24.93027372 60.15473111, 24.93031631 60.15464358, 24.93065835 60.1546848)))",24.93047191958393,60.15470961929454
725873753,灰色,深灰色,"Polygon ((24.91018077 60.15445434, 24.91022075 60.15465424, 24.91022553 60.15468216, 24.91032007 60.15467822, 24.91035025 60.15465165, 24.91042175 60.15464888, 24.91064596 60.15464016, 24.91064403 60.15462793, 24.91062702 60.15452315, 24.9104826 60.15452919, 24.91047179 60.15454117, 24.91044547 60.15453614, 24.91043465 60.15444587, 24.9104075 60.15444679, 24.91018077 60.15445434))",24.910385896132077,60.154564957329725
52561037,深灰色,深蓝色,"Polygon ((24.91825623 60.16668487, 24.91862746 60.16669728, 24.918634 60.16661589, 24.91826218 60.16660365, 24.91825623 60.16668487))",24.918445040310687,60.166650414393864
282316714,灰色,灰色,"MultiPolygon (((24.97894133 60.19220527, 24.97923258 60.19223759, 24.97922345 60.19225791, 24.9792771 60.19226387, 24.97925771 60.19230705, 24.97965882 60.19235156, 24.97958923 60.1925065, 24.97884322 60.19242371, 24.97894133 60.19220527)))",24.979226662154037,60.19236761825783
